date,close,Bid,Ask,asset
11-Oct-2019,1.1042,1.1040,1.1044,EUR
04-Oct-2019,1.0978,1.0976,1.0980,EUR
27-Sept-2019,1.0939,1.0938,1.0940,EUR
20-Sept-2019,1.1018,1.1017,1.1019,EUR
13-Sept-2019,1.1075,1.1073,1.1077,EUR
06-Sept-2019,1.1029,1.1027,1.1031,EUR
30-Aug-2019,1.0991,1.0989,1.0993,EUR
23-Aug-2019,1.11445,1.1144,1.1145,EUR
16-Aug-2019,1.109,1.1089,1.1091,EUR
09-Aug-2019,1.12,1.1198,1.1202,EUR
02-Aug-2019,1.1109,1.1107,1.1111,EUR
26-Jul-2019,1.1127,1.1125,1.1129,EUR
19-Jul-2019,1.1222,1.1220,1.1224,EUR
12-Jul-2019,1.1271,1.1269,1.1273,EUR
05-Jul-2019,1.1226,1.1224,1.1228,EUR
28-Jun-2019,1.137,1.1368,1.1372,EUR
21-Jun-2019,1.1368,1.1366,1.1370,EUR
14-Jun-2019,1.1209,1.1207,1.1211,EUR
07-Jun-2019,1.1333,1.1331,1.1335,EUR
31-May-2019,1.1169,1.1167,1.1171,EUR
24-May-2019,1.12045,1.1202,1.1207,EUR
17-May-2019,1.1158,1.1156,1.1160,EUR
10-May-2019,1.1235,1.1233,1.1237,EUR
03-May-2019,1.1202,1.1200,1.1204,EUR
26-Apr-2019,1.1149,1.1148,1.1150,EUR
19-Apr-2019,1.12485,1.1246,1.1251,EUR
12-Apr-2019,1.13025,1.1300,1.1305,EUR
05-Apr-2019,1.1216,1.1214,1.1218,EUR
29-Mar-2019,1.1218,1.1217,1.1219,EUR
22-Mar-2019,1.1314,1.1313,1.1315,EUR
15-Mar-2019,1.13255,1.1325,1.1326,EUR
08-Mar-2019,1.12405,1.1238,1.1243,EUR
01-Mar-2019,1.13765,1.1374,1.1379,EUR
22-Feb-2019,1.13435,1.1341,1.1346,EUR
15-Feb-2019,1.1295,1.1293,1.1297,EUR
08-Feb-2019,1.13305,1.1328,1.1333,EUR
01-Feb-2019,1.1456,1.1454,1.1458,EUR
25-Jan-2019,1.14145,1.1412,1.1417,EUR
18-Jan-2019,1.1363,1.1361,1.1365,EUR
11-Jan-2019,1.1469,1.1467,1.1471,EUR
04-Jan-2019,1.1395,1.1393,1.1397,EUR
28-Dec-2018,1.1438,1.1436,1.1440,EUR
21-Dec-2018,1.1369,1.1367,1.1371,EUR
14-Dec-2018,1.13095,1.1307,1.1312,EUR
07-Dec-2018,1.1378,1.1376,1.1380,EUR
30-Nov-2018,1.1317,1.1315,1.1319,EUR
23-Nov-2018,1.13415,1.1340,1.1343,EUR
16-Nov-2018,1.142,1.1418,1.1422,EUR
09-Nov-2018,1.1336,1.1334,1.1338,EUR
02-Nov-2018,1.1387,1.1385,1.1389,EUR
26-Oct-2018,1.1403,1.1401,1.1405,EUR
19-Oct-2018,1.15145,1.1513,1.1516,EUR
12-Oct-2018,1.1563,1.1562,1.1564,EUR
05-Oct-2018,1.1524,1.1523,1.1525,EUR
28-Sept-2018,1.1609,1.1608,1.1610,EUR
21-Sept-2018,1.175,1.1749,1.1751,EUR
14-Sept-2018,1.16305,1.1628,1.1633,EUR
07-Sept-2018,1.1553,1.1551,1.1555,EUR
31-Aug-2018,1.1601,1.1599,1.1603,EUR
24-Aug-2018,1.1623,1.1621,1.1625,EUR
17-Aug-2018,1.1439,1.1437,1.1441,EUR
10-Aug-2018,1.1411,1.1410,1.1412,EUR
03-Aug-2018,1.15675,1.1567,1.1568,EUR
27-Jul-2018,1.16575,1.1656,1.1659,EUR
20-Jul-2018,1.172,1.1718,1.1722,EUR
13-Jul-2018,1.16855,1.1685,1.1686,EUR
06-Jul-2018,1.1747,1.1745,1.1749,EUR
29-Jun-2018,1.1685,1.1683,1.1687,EUR
22-Jun-2018,1.1657,1.1655,1.1659,EUR
15-Jun-2018,1.1609,1.1607,1.1611,EUR
08-Jun-2018,1.1768,1.1766,1.1770,EUR
01-Jun-2018,1.16605,1.1660,1.1661,EUR
25-May-2018,1.1652,1.1650,1.1654,EUR
18-May-2018,1.17775,1.1775,1.1780,EUR
11-May-2018,1.1944,1.1942,1.1946,EUR
04-May-2018,1.196,1.1958,1.1962,EUR
27-Apr-2018,1.213,1.2128,1.2132,EUR
