date,Close,Bid,Ask,asset
23-Sept-2016,86.76,86.71,86.72,HYG
16-Sept-2016,85.91,85.88,85.89,HYG
09-Sept-2016,85.77,85.79,85.80,HYG
02-Sept-2016,86.90,86.87,86.88,HYG
26-Aug-2016,86.56,86.55,86.56,HYG
19-Aug-2016,86.59,86.60,86.61,HYG
12-Aug-2016,86.31,86.31,86.32,HYG
05-Aug-2016,85.54,85.56,85.57,HYG
29-Jul-2016,85.41,85.39,85.40,HYG
22-Jul-2016,86.17,86.15,86.16,HYG
15-Jul-2016,85.63,85.64,85.65,HYG
08-Jul-2016,85.59,85.57,85.58,HYG
01-Jul-2016,84.47,84.45,84.46,HYG
24-Jun-2016,83.25,83.31,83.32,HYG
17-Jun-2016,83.13,83.11,83.12,HYG
10-Jun-2016,83.83,83.81,83.82,HYG
03-Jun-2016,83.51,83.52,83.53,HYG
27-May-2016,83.69,83.67,83.68,HYG
20-May-2016,83.14,83.12,83.13,HYG
13-May-2016,82.78,82.77,82.78,HYG
06-May-2016,82.53,82.51,82.52,HYG
29-Apr-2016,83.85,83.84,83.85,HYG
22-Apr-2016,83.40,83.38,83.39,HYG
15-Apr-2016,82.49,82.49,82.50,HYG
08-Apr-2016,81.52,81.53,81.54,HYG
01-Apr-2016,81.37,81.35,81.36,HYG
25-Mar-2016,81.35,81.34,81.35,HYG
18-Mar-2016,82.40,82.35,82.36,HYG
11-Mar-2016,82.14,82.14,82.15,HYG
04-Mar-2016,80.87,80.88,80.89,HYG
26-Feb-2016,79.23,79.19,79.20,HYG
19-Feb-2016,77.64,77.64,77.65,HYG
12-Feb-2016,76.72,76.71,76.72,HYG
05-Feb-2016,77.41,77.42,77.44,HYG
29-Jan-2016,79.29,79.27,79.28,HYG
22-Jan-2016,78.83,78.83,78.84,HYG
15-Jan-2016,77.91,77.92,77.93,HYG
08-Jan-2016,79.52,79.52,79.53,HYG
01-Jan-2016,80.58,80.60,80.61,HYG
25-Dec-2015,80.49,80.46,80.47,HYG
18-Dec-2015,79.53,79.54,79.55,HYG
11-Dec-2015,79.52,79.50,79.51,HYG
04-Dec-2015,82.66,82.67,82.68,HYG
27-Nov-2015,83.10,83.10,83.11,HYG
20-Nov-2015,82.84,82.81,82.82,HYG
13-Nov-2015,83.00,83.00,83.01,HYG
06-Nov-2015,84.54,84.53,84.54,HYG
